mun,sex,cs_p12,cs_p13_1,cs_p16,cs_p17,c_inac5c,eda7c
30.0,2.0,1.0,6.0,1.0,2.0,2.0,5.0
30.0,1.0,1.0,7.0,1.0,2.0,3.0,6.0
30.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0
30.0,2.0,1.0,7.0,1.0,2.0,0.0,5.0
30.0,2.0,1.0,7.0,2.0,1.0,1.0,2.0
30.0,2.0,1.0,7.0,1.0,2.0,5.0,3.0
30.0,1.0,1.0,7.0,1.0,2.0,0.0,3.0
30.0,2.0,1.0,7.0,1.0,2.0,0.0,4.0
30.0,2.0,1.0,8.0,2.0,1.0,0.0,2.0
30.0,1.0,1.0,7.0,1.0,2.0,0.0,4.0
30.0,1.0,1.0,7.0,1.0,2.0,3.0,5.0
30.0,1.0,1.0,7.0,2.0,1.0,0.0,3.0
30.0,2.0,1.0,5.0,1.0,2.0,3.0,6.0
30.0,2.0,1.0,7.0,1.0,2.0,0.0,3.0
30.0,1.0,1.0,7.0,1.0,2.0,0.0,3.0
30.0,2.0,1.0,7.0,1.0,2.0,0.0,2.0
30.0,1.0,1.0,7.0,1.0,2.0,0.0,3.0
30.0,2.0,1.0,8.0,1.0,2.0,0.0,2.0
30.0,1.0,1.0,7.0,1.0,2.0,0.0,3.0
30.0,1.0,1.0,7.0,1.0,2.0,3.0,6.0
30.0,2.0,1.0,7.0,1.0,2.0,0.0,4.0
30.0,1.0,1.0,6.0,1.0,2.0,0.0,5.0
30.0,2.0,1.0,6.0,1.0,2.0,0.0,5.0
30.0,2.0,1.0,7.0,2.0,1.0,1.0,2.0
30.0,2.0,1.0,6.0,1.0,2.0,2.0,5.0
30.0,2.0,1.0,6.0,1.0,2.0,0.0,4.0
30.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0
30.0,1.0,1.0,7.0,1.0,2.0,0.0,4.0
30.0,2.0,1.0,6.0,1.0,2.0,2.0,4.0
30.0,1.0,1.0,6.0,1.0,2.0,0.0,3.0
30.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0
30.0,1.0,1.0,7.0,1.0,2.0,3.0,6.0
30.0,2.0,1.0,6.0,1.0,2.0,0.0,4.0
30.0,2.0,1.0,8.0,1.0,2.0,0.0,5.0
30.0,2.0,1.0,7.0,1.0,2.0,0.0,6.0
30.0,2.0,1.0,7.0,1.0,2.0,0.0,5.0
30.0,2.0,1.0,7.0,1.0,2.0,2.0,4.0
30.0,1.0,1.0,7.0,2.0,1.0,0.0,2.0
30.0,2.0,1.0,7.0,2.0,1.0,1.0,2.0
30.0,2.0,1.0,7.0,1.0,2.0,0.0,2.0
30.0,1.0,1.0,7.0,1.0,2.0,0.0,3.0
30.0,1.0,1.0,8.0,1.0,2.0,0.0,6.0
30.0,2.0,1.0,7.0,2.0,1.0,1.0,2.0
30.0,2.0,1.0,7.0,1.0,2.0,2.0,2.0
30.0,2.0,1.0,7.0,1.0,2.0,0.0,2.0
30.0,2.0,1.0,7.0,1.0,2.0,0.0,5.0
30.0,1.0,1.0,7.0,1.0,2.0,0.0,3.0
30.0,2.0,1.0,7.0,1.0,2.0,0.0,5.0
30.0,2.0,1.0,6.0,1.0,2.0,0.0,5.0
30.0,2.0,1.0,7.0,1.0,2.0,0.0,2.0
30.0,1.0,1.0,7.0,1.0,2.0,0.0,2.0
30.0,1.0,1.0,7.0,1.0,2.0,0.0,5.0
30.0,1.0,1.0,7.0,2.0,2.0,0.0,5.0
30.0,1.0,1.0,6.0,1.0,2.0,0.0,3.0
30.0,2.0,1.0,7.0,1.0,2.0,0.0,3.0
30.0,2.0,1.0,6.0,1.0,2.0,0.0,4.0
30.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0
30.0,1.0,1.0,8.0,1.0,2.0,3.0,6.0
30.0,2.0,1.0,7.0,1.0,2.0,0.0,4.0
30.0,2.0,1.0,7.0,1.0,2.0,0.0,4.0
30.0,1.0,1.0,7.0,1.0,2.0,0.0,3.0
30.0,2.0,1.0,7.0,1.0,2.0,0.0,3.0
30.0,1.0,1.0,7.0,1.0,2.0,0.0,3.0
30.0,2.0,1.0,7.0,1.0,2.0,2.0,6.0
30.0,2.0,1.0,7.0,1.0,2.0,0.0,2.0
30.0,2.0,1.0,7.0,1.0,2.0,0.0,5.0
30.0,2.0,1.0,6.0,2.0,1.0,1.0,2.0
30.0,1.0,1.0,6.0,1.0,2.0,0.0,2.0
30.0,1.0,1.0,7.0,1.0,2.0,0.0,4.0
30.0,2.0,1.0,7.0,1.0,2.0,2.0,5.0
30.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0
30.0,2.0,1.0,7.0,1.0,2.0,0.0,4.0
